epoch,mlp/train/acc,mlp/train/loss,mlp/val/acc,mlp/val/loss,step
0,,,35.882938385009766,1.8468981981277466,182
0,30.82582664489746,1.9283170700073242,,,182
1,,,38.095237731933594,1.7915244102478027,365
1,42.044185638427734,1.6496409177780151,,,365
2,,,37.66865158081055,1.7840380668640137,548
2,47.09244918823242,1.5145004987716675,,,548
3,,,40.26785659790039,1.7709006071090698,731
3,50.78936004638672,1.4164906740188599,,,731
4,,,36.60714340209961,1.817379355430603,914
4,53.722652435302734,1.3370866775512695,,,914
5,,,38.095237731933594,1.849082589149475,1097
5,56.51222610473633,1.2644816637039185,,,1097
6,,,36.755950927734375,1.8826770782470703,1280
6,58.87387466430664,1.2037651538848877,,,1280
7,,,36.70634841918945,1.9288525581359863,1463
7,60.7561149597168,1.1469656229019165,,,1463
8,,,38.47222137451172,1.9540475606918335,1646
8,62.62440872192383,1.0920100212097168,,,1646
9,,,37.658729553222656,1.9926875829696655,1829
9,64.30501556396484,1.0473685264587402,,,1829
10,,,37.28174591064453,1.997861385345459,2012
10,66.01351165771484,0.9996237754821777,,,2012
11,,,35.75396728515625,2.073643922805786,2195
11,67.7262954711914,0.9580786228179932,,,2195
12,,,38.18452453613281,2.0348715782165527,2378
12,69.08086395263672,0.9164292216300964,,,2378
13,,,37.113094329833984,2.063732147216797,2561
13,70.59416198730469,0.8768872618675232,,,2561
14,,,37.033729553222656,2.1215152740478516,2744
14,71.58944702148438,0.8494542241096497,,,2744
15,,,36.95436477661133,2.1387650966644287,2927
15,73.2957992553711,0.8078813552856445,,,2927
16,,,37.05356979370117,2.2224338054656982,3110
16,74.3779525756836,0.7743597626686096,,,3110
17,,,37.31150817871094,2.184619188308716,3293
17,75.34105682373047,0.7478234171867371,,,3293
18,,,38.04563522338867,2.208049774169922,3476
18,76.3717269897461,0.7209482789039612,,,3476
19,,,37.28174591064453,2.2407593727111816,3659
19,77.27691650390625,0.6965343356132507,,,3659
20,,,37.19245910644531,2.2431609630584717,3842
20,78.25182342529297,0.6727320551872253,,,3842
21,,,36.66666793823242,2.272064685821533,4025
21,79.12376403808594,0.6520715355873108,,,4025
22,,,36.369049072265625,2.3231325149536133,4208
22,79.90026092529297,0.6295226216316223,,,4208
23,,,38.105159759521484,2.2816994190216064,4391
23,80.56949615478516,0.6128807067871094,,,4391
24,,,37.480159759521484,2.333850383758545,4574
24,81.20870971679688,0.5949996113777161,,,4574
25,,,37.748016357421875,2.3375372886657715,4757
25,81.54010772705078,0.5840291380882263,,,4757
26,,,36.78571319580078,2.406446933746338,4940
26,82.27262878417969,0.5655569434165955,,,4940
27,,,35.724205017089844,2.4145960807800293,5123
27,82.85285186767578,0.550297737121582,,,5123
28,,,36.875,2.40936541557312,5306
