,0
0,0.8666666666666667
1,0.5180555555555556
2,0.6041666666666666
3,0.7972222222222223
4,0.6125
5,0.9888888888888889
6,0.5597222222222222
7,0.6611111111111111
8,0.5958333333333333
9,0.3263888888888889
10,0.9444444444444444
11,0.9333333333333333
12,0.6166666666666667
13,0.44305555555555554
14,0.43472222222222223
15,0.7527777777777778
16,0.8819444444444444
17,0.4777777777777778
18,0.7083333333333334
19,0.8138888888888889
20,0.9666666666666667
21,0.8708333333333333
22,0.6847222222222222
23,0.7319444444444444
24,0.4597222222222222
25,0.3861111111111111
26,0.7916666666666666
27,0.8319444444444445
28,0.4013888888888889
29,0.9694444444444444
30,0.7680555555555556
31,0.6194444444444445
32,0.8694444444444445
33,0.5847222222222223
34,0.7861111111111111
35,0.8666666666666667
36,0.8291666666666667
37,0.9208333333333333
38,0.8944444444444445
39,0.8222222222222222
40,0.6611111111111111
41,0.7291666666666666
42,0.6666666666666666
43,0.8805555555555555
44,0.7319444444444444
45,0.5097222222222222
46,0.9541666666666667
47,0.6152777777777778
48,0.8555555555555555
49,0.7486111111111111
50,0.7527777777777778
51,0.7305555555555555
52,0.8652777777777778
53,0.8013888888888889
54,0.5861111111111111
55,0.7347222222222223
56,0.5402777777777777
57,0.8013888888888889
58,0.8208333333333333
59,0.9208333333333333
60,0.5041666666666667
61,0.6055555555555555
62,0.7930555555555555
63,0.4527777777777778
64,0.8111111111111111
65,0.4263888888888889
66,0.8625
67,0.6513888888888889
68,0.8833333333333333
69,0.8166666666666667
70,0.7208333333333333
71,0.6375
72,0.5652777777777778
73,0.8305555555555556
74,0.49027777777777776
75,0.8972222222222223
76,0.475
77,0.5805555555555556
78,0.8916666666666667
79,0.6930555555555555
80,0.9180555555555555
81,0.3736111111111111
82,0.6222222222222222
83,0.7930555555555555
84,0.7138888888888889
85,0.3875
86,0.9041666666666667
87,0.6555555555555556
88,0.9055555555555556
89,0.6777777777777778
90,0.8680555555555556
91,0.9305555555555556
92,0.8097222222222222
93,0.6708333333333333
94,0.6513888888888889
95,0.7152777777777778
96,0.5944444444444444
97,0.9416666666666667
98,0.7722222222222223
99,0.6527777777777778
100,0.775
101,0.7708333333333334
102,0.7625
103,0.8291666666666667
104,0.6888888888888889
105,0.7027777777777777
106,0.8166666666666667
107,0.49444444444444446
108,0.8541666666666666
109,0.5222222222222223
110,0.4444444444444444
111,0.7625
112,0.8708333333333333
113,0.6236111111111111
114,0.8708333333333333
115,0.7722222222222223
116,0.5180555555555556
117,0.4861111111111111
118,0.9305555555555556
119,0.5819444444444445
120,0.7972222222222223
121,0.6513888888888889
