true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,33.29719964,5.51038844,7.76874435,7.74164408,11.80668473,4.01084011,10.21680217,6.30532972,13.34236676
Disgust,3.98373984,56.01626016,7.49774164,6.43179765,8.50045167,5.42908762,3.16169828,5.50135501,3.47786811
Fear,5.09485095,9.91869919,41.38211382,3.36043360,4.51671183,14.48057814,7.09123758,7.29900632,6.85636856
Sadness,9.63866305,7.70551039,3.36043360,32.95392954,19.91869919,3.64950316,5.08581752,9.69286360,7.99457995
Neutral,5.88075881,6.05013550,1.47696477,10.69783198,55.31165312,4.28184282,4.18021680,4.97289973,7.14769648
Amusement,5.95302620,3.98373984,9.09665763,4.95031617,7.38030714,51.25564589,5.30261969,5.80849142,6.26919603
Inspiration,15.00451671,6.16982836,9.56639566,8.55465221,12.96296296,9.03342367,21.35501355,6.50406504,10.84914182
Joy,4.63414634,9.51219512,8.50948509,9.82836495,11.69828365,17.23577236,7.89521229,22.44805781,8.23848238
Tenderness,11.09304426,2.59259259,5.60072267,7.19963866,11.56278229,4.76964770,7.10930443,5.19421861,44.87804878
