true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,3686.00000000,610.00000000,860.00000000,857.00000000,1307.00000000,444.00000000,1131.00000000,698.00000000,1477.00000000
Disgust,441.00000000,6201.00000000,830.00000000,712.00000000,941.00000000,601.00000000,350.00000000,609.00000000,385.00000000
Fear,564.00000000,1098.00000000,4581.00000000,372.00000000,500.00000000,1603.00000000,785.00000000,808.00000000,759.00000000
Sadness,1067.00000000,853.00000000,372.00000000,3648.00000000,2205.00000000,404.00000000,563.00000000,1073.00000000,885.00000000
Neutral,868.00000000,893.00000000,218.00000000,1579.00000000,8164.00000000,632.00000000,617.00000000,734.00000000,1055.00000000
Amusement,659.00000000,441.00000000,1007.00000000,548.00000000,817.00000000,5674.00000000,587.00000000,643.00000000,694.00000000
Inspiration,1661.00000000,683.00000000,1059.00000000,947.00000000,1435.00000000,1000.00000000,2364.00000000,720.00000000,1201.00000000
Joy,513.00000000,1053.00000000,942.00000000,1088.00000000,1295.00000000,1908.00000000,874.00000000,2485.00000000,912.00000000
Tenderness,1228.00000000,287.00000000,620.00000000,797.00000000,1280.00000000,528.00000000,787.00000000,575.00000000,4968.00000000
