true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,37.85004517,5.04968383,4.49864499,8.58175248,11.58988257,3.92953930,9.93676603,6.01626016,12.54742547
Disgust,3.90243902,54.96838302,8.55465221,7.20867209,6.60343270,4.68834688,4.42637760,6.64859982,2.99909666
Fear,6.17886179,7.19963866,41.96928636,2.67389341,8.55465221,10.29810298,6.71183379,8.26558266,8.14814815
Sadness,9.74706414,8.12104788,3.12556459,37.19963866,18.13008130,4.34507678,6.21499548,9.34959350,3.76693767
Neutral,6.83604336,3.55013550,3.03523035,9.65447154,51.22628726,4.08536585,7.60840108,5.56910569,8.43495935
Amusement,5.34778681,5.60072267,11.22854562,4.64317977,5.84462511,45.43812105,8.04878049,8.80758808,5.04065041
Inspiration,9.40379404,4.63414634,7.99457995,6.83830172,11.21047877,6.92863595,36.81120145,6.66666667,9.51219512
Joy,5.71815718,7.07317073,8.75338753,9.11472448,10.97560976,16.27822945,8.89792231,26.17886179,7.00993677
Tenderness,6.82023487,2.40289070,6.03432701,6.63956640,10.33423668,5.43812105,10.43360434,5.07678410,46.82023487
