epoch,ext/train/acc,ext/train/acc5,ext/train/loss,ext/train/lr,ext/val/acc,ext/val/acc5,ext/val/loss,step
0,,,,,11.0119047164917,30.952381134033203,3.6733930110931396,6104
0,6.921142101287842,23.364337921142578,3.890810012817383,0.0006999970646575093,,,,6104
1,,,,,12.01298713684082,32.98160171508789,3.627577543258667,12209
1,10.11407470703125,29.945886611938477,3.7130048274993896,0.0006999970646575093,,,,12209
2,,,,,14.150432586669922,36.931819915771484,3.5501761436462402,18314
2,11.36509895324707,32.09722900390625,3.6587471961975098,0.0006999970646575093,,,,18314
3,,,,,14.015151977539062,35.90367889404297,3.5581862926483154,24419
3,12.45407772064209,33.98063659667969,3.6135265827178955,0.0006999970646575093,,,,24419
4,,,,,14.935065269470215,37.41883087158203,3.536703109741211,30524
4,13.358196258544922,35.37118148803711,3.578503131866455,0.0006999970646575093,,,,30524
5,,,,,14.204545021057129,36.850650787353516,3.5133209228515625,36629
5,13.55124568939209,35.76225662231445,3.563877582550049,0.0006999970646575093,,,,36629
6,,,,,16.39610481262207,39.44805145263672,3.460378885269165,42734
6,14.124838829040527,36.25336456298828,3.5492632389068604,0.0006999970646575093,,,,42734
7,,,,,14.772727012634277,39.20454406738281,3.476614236831665,48839
7,14.561542510986328,37.06095886230469,3.531243324279785,0.0006999970646575093,,,,48839
8,,,,,15.124459266662598,39.39393997192383,3.451704263687134,54944
8,14.785889625549316,37.268924713134766,3.5235750675201416,0.0006999970646575093,,,,54944
9,,,,,17.126623153686523,39.4751091003418,3.456279993057251,61049
9,15.078974723815918,37.83578872680664,3.5114641189575195,0.0006999970646575093,,,,61049
10,,,,,16.58549690246582,39.52922058105469,3.457286834716797,67154
10,15.216157913208008,37.981746673583984,3.504276752471924,0.0006999970646575093,,,,67154
11,,,,,16.558441162109375,41.612552642822266,3.4265334606170654,73259
11,15.238679885864258,38.044342041015625,3.501385450363159,0.0006999970646575093,,,,73259
12,,,,,16.39610481262207,39.637447357177734,3.4582860469818115,79364
12,15.407745361328125,38.36433792114258,3.49473237991333,0.0006999970646575093,,,,79364
13,,,,,17.234848022460938,41.612552642822266,3.4247331619262695,85469
13,15.711068153381348,38.59833908081055,3.4853057861328125,0.0006999970646575093,,,,85469
14,,,,,16.017316818237305,40.36796569824219,3.446692943572998,91574
14,15.892126083374023,38.9551887512207,3.478618860244751,0.0006999970646575093,,,,91574
15,,,,,17.613636016845703,40.82792282104492,3.458494186401367,97679
15,16.107112884521484,39.19474792480469,3.47025465965271,0.0006999970646575093,,,,97679
16,,,,,18.046537399291992,40.638526916503906,3.411911725997925,103784
16,16.164443969726562,39.2912712097168,3.4695544242858887,0.0006999970646575093,,,,103784
17,,,,,16.477272033691406,39.4751091003418,3.4570870399475098,109889
17,16.325319290161133,39.40300750732422,3.4643402099609375,0.0006999970646575093,,,,109889
18,,,,,16.09848403930664,39.826839447021484,3.432382822036743,115994
18,16.515735626220703,39.737918853759766,3.455307722091675,0.0006999970646575093,,,,115994
19,,,,,17.532466888427734,41.04437255859375,3.4255423545837402,122099
19,16.57511329650879,39.813968658447266,3.4528112411499023,0.0006999970646575093,,,,122099
20,,,,,15.530303001403809,40.3138542175293,3.438849925994873,128204
20,16.814964294433594,40.024864196777344,3.4520750045776367,0.0006999970646575093,,,,128204
21,,,,,16.720779418945312,39.691558837890625,3.474947214126587,134309
21,16.931964874267578,40.090091705322266,3.446279764175415,0.0006999970646575093,,,,134309
22,,,,,17.803030014038086,41.7748908996582,3.4019699096679688,140414
22,16.973499298095703,40.11992645263672,3.442324161529541,0.0006999970646575093,,,,140414
23,,,,,17.50541114807129,41.5313835144043,3.4259092807769775,146519
23,16.877851486206055,40.302154541015625,3.439603805541992,0.0006999970646575093,,,,146519
24,,,,,17.126623153686523,41.558441162109375,3.443993091583252,152624
24,16.895401000976562,40.1453742980957,3.4430932998657227,0.0006999970646575093,,,,152624
25,,,,,17.613636016845703,42.3701286315918,3.4227712154388428,158729
25,16.913829803466797,40.14683532714844,3.442586898803711,0.0006999970646575093,,,,158729
26,,,,,18.61471939086914,43.12770462036133,3.3904531002044678,164834
26,17.110097885131836,40.39692306518555,3.4358224868774414,0.0006999970646575093,,,,164834
27,,,,,19.02056312561035,41.612552642822266,3.414666175842285,170939
27,17.08932876586914,40.430267333984375,3.434998035430908,0.0006999970646575093,,,,170939
28,,,,,18.34415626525879,43.317100524902344,3.379270315170288,177044
28,17.15163230895996,40.47209548950195,3.4367763996124268,0.0006999970646575093,,,,177044
29,,,,,17.77597427368164,41.477272033691406,3.3909270763397217,183149
29,17.002456665039062,40.18807601928711,3.437887191772461,0.0006999970646575093,,,,183149
30,,,,,18.587661743164062,41.80194854736328,3.4217989444732666,189254
30,17.112144470214844,40.35275650024414,3.4360759258270264,0.0006999970646575093,,,,189254
31,,,,,17.9112548828125,41.31493377685547,3.413785934448242,195359
31,17.156604766845703,40.60869216918945,3.4302971363067627,0.0006999970646575093,,,,195359
32,,,,,18.88528060913086,42.50541305541992,3.3954668045043945,201464
32,17.188779830932617,40.4127197265625,3.431283950805664,0.0006999970646575093,,,,201464
33,,,,,19.02056312561035,43.07359313964844,3.3503634929656982,207569
33,17.14900016784668,40.470924377441406,3.4330708980560303,0.0006999970646575093,,,,207569
34,,,,,17.42424201965332,40.96320343017578,3.4286506175994873,213674
34,17.2984676361084,40.621856689453125,3.4283804893493652,0.0006999970646575093,,,,213674
35,,,,,17.748918533325195,41.58549880981445,3.4148216247558594,219779
35,17.111852645874023,40.39399719238281,3.4334495067596436,0.0006999970646575093,,,,219779
36,,,,,18.371212005615234,41.612552642822266,3.397083044052124,225884
36,17.177663803100586,40.64788818359375,3.429518699645996,0.0006999970646575093,,,,225884
37,,,,,17.15367889404297,40.07034683227539,3.4579129219055176,231989
37,17.058032989501953,40.46244430541992,3.435384750366211,0.0006999970646575093,,,,231989
38,,,,,18.560606002807617,41.423160552978516,3.41550350189209,238094
38,17.20954704284668,40.59318923950195,3.430488348007202,0.0006999970646575093,,,,238094
39,,,,,19.50757598876953,42.96536636352539,3.3739728927612305,244199
39,17.232946395874023,40.58412170410156,3.427424907684326,0.0006999970646575093,,,,244199
40,,,,,18.019479751586914,41.423160552978516,3.4168529510498047,250304
40,17.159236907958984,40.553409576416016,3.432929754257202,0.0006999970646575093,,,,250304
41,,,,,18.777055740356445,42.55952453613281,3.398138999938965,256409
41,17.215396881103516,40.55428695678711,3.4287447929382324,0.0006999970646575093,,,,256409
42,,,,,17.126623153686523,41.612552642822266,3.4355175495147705,262514
42,17.138469696044922,40.52006530761719,3.431647777557373,0.0006999970646575093,,,,262514
43,,,,,18.18181800842285,42.80303192138672,3.4332079887390137,268619
43,17.266878128051758,40.662513732910156,3.4267842769622803,0.0006999970646575093,,,,268619
44,,,,,17.42424201965332,41.09848403930664,3.4206478595733643,274724
44,17.20311164855957,40.67421340942383,3.424905300140381,0.0006999970646575093,,,,274724
45,,,,,18.046537399291992,41.93722915649414,3.4004859924316406,280829
45,17.436235427856445,40.926055908203125,3.420699119567871,0.0006999970646575093,,,,280829
46,,,,,17.64069175720215,42.261905670166016,3.3691928386688232,286934
46,17.283550262451172,40.678306579589844,3.426440477371216,0.0006999970646575093,,,,286934
47,,,,,18.019479751586914,41.2337646484375,3.406836748123169,293039
47,17.337369918823242,40.58353805541992,3.426041603088379,0.0006999970646575093,,,,293039
48,,,,,18.34415626525879,41.85606002807617,3.408207654953003,299144
48,17.193166732788086,40.588218688964844,3.4285871982574463,0.0006999970646575093,,,,299144
49,,,,,18.235931396484375,42.23484802246094,3.394134998321533,305249
49,17.271265029907227,40.70463180541992,3.424107551574707,0.0006999970646575093,,,,305249
50,,,,,17.397186279296875,41.74783706665039,3.4158031940460205,311354
50,17.308704376220703,40.729496002197266,3.4222023487091064,0.0006999970646575093,,,,311354
51,,,,,17.42424201965332,41.80194854736328,3.387418508529663,317459
51,17.327716827392578,40.87808609008789,3.424348831176758,0.0006999970646575093,,,,317459
52,,,,,19.18290138244629,43.39826965332031,3.377514600753784,323564
52,17.418100357055664,40.675384521484375,3.4233169555664062,0.0006999970646575093,,,,323564
53,,,,,19.453462600708008,43.69588851928711,3.345686197280884,329669
53,17.215105056762695,40.72715759277344,3.4251959323883057,0.0006999970646575093,,,,329669
54,,,,,18.533550262451172,41.99134063720703,3.402634382247925,335774
54,17.351118087768555,40.97285461425781,3.4178175926208496,0.0006999970646575093,,,,335774
55,,,,,18.154762268066406,40.96320343017578,3.4175899028778076,341879
55,17.389142990112305,40.94916534423828,3.420746326446533,0.0006999970646575093,,,,341879
56,,,,,19.31818199157715,42.478355407714844,3.3939878940582275,347984
56,17.23177719116211,40.74821472167969,3.4211692810058594,0.0006999970646575093,,,,347984
57,,,,,18.371212005615234,42.261905670166016,3.4065887928009033,354089
57,17.373348236083984,40.77307891845703,3.4218556880950928,0.0006999970646575093,,,,354089
58,,,,,18.290042877197266,40.55735778808594,3.3897640705108643,360194
58,17.30987548828125,40.79530715942383,3.420504331588745,0.0006999970646575093,,,,360194
59,,,,,18.425325393676758,41.99134063720703,3.3992063999176025,366299
59,17.325084686279297,40.957061767578125,3.4158389568328857,0.0006999970646575093,,,,366299
60,,,,,17.77597427368164,42.01839828491211,3.421952486038208,372404
