epoch,ext/train/acc,ext/train/acc5,ext/train/loss,ext/train/lr,ext/val/acc,ext/val/acc5,ext/val/loss,step
0,,,,,15.323129653930664,37.482994079589844,3.5522754192352295,5777
0,17.338550567626953,38.71272659301758,3.529315233230591,0.0006999970646575093,,,,5777
1,,,,,17.0748291015625,39.18367385864258,3.5121638774871826,11555
1,21.89524269104004,44.56435775756836,3.3207881450653076,0.0006999970646575093,,,,11555
2,,,,,18.163265228271484,39.86394500732422,3.4584367275238037,17333
2,23.685283660888672,46.61585998535156,3.248260021209717,0.0006999970646575093,,,,17333
3,,,,,18.26530647277832,40.81632614135742,3.440514087677002,23111
3,24.588958740234375,47.70001983642578,3.20560622215271,0.0006999970646575093,,,,23111
4,,,,,18.146259307861328,40.28911590576172,3.4537949562072754,28889
4,24.923046112060547,48.33759689331055,3.180840253829956,0.0006999970646575093,,,,28889
5,,,,,19.37074851989746,41.25850296020508,3.436702251434326,34667
5,25.454618453979492,48.84321212768555,3.1597657203674316,0.0006999970646575093,,,,34667
6,,,,,18.316326141357422,40.595237731933594,3.4554357528686523,40445
6,25.849590301513672,49.23076629638672,3.145535707473755,0.0006999970646575093,,,,40445
7,,,,,20.306121826171875,43.231292724609375,3.3775908946990967,46223
7,26.046457290649414,49.57474136352539,3.1339962482452393,0.0006999970646575093,,,,46223
8,,,,,19.03061294555664,41.17346954345703,3.4213411808013916,52001
8,26.422574996948242,49.79169845581055,3.121772050857544,0.0006999970646575093,,,,52001
9,,,,,19.676870346069336,41.95578384399414,3.4098193645477295,57779
9,26.252904891967773,49.744102478027344,3.123211145401001,0.0006999970646575093,,,,57779
10,,,,,18.82653045654297,41.03741455078125,3.434352397918701,63557
10,26.82218360900879,50.42216873168945,3.1062324047088623,0.0006999970646575093,,,,63557
11,,,,,19.778911590576172,41.768707275390625,3.416449785232544,69335
11,26.592864990234375,50.194393157958984,3.1114375591278076,0.0006999970646575093,,,,69335
12,,,,,20.27210807800293,42.70408248901367,3.386049509048462,75113
12,26.73750114440918,50.325435638427734,3.1045143604278564,0.0006999970646575093,,,,75113
13,,,,,20.27210807800293,43.18027114868164,3.3856873512268066,80891
13,27.05459213256836,50.717315673828125,3.0950164794921875,0.0006999970646575093,,,,80891
14,,,,,20.187074661254883,42.72108840942383,3.3924691677093506,86669
14,27.112384796142578,50.64314270019531,3.0926854610443115,0.0006999970646575093,,,,86669
15,,,,,20.238094329833984,42.806121826171875,3.386401891708374,92447
15,27.066953659057617,50.84093475341797,3.0891809463500977,0.0006999970646575093,,,,92447
16,,,,,20.017005920410156,42.687076568603516,3.4149527549743652,98225
16,27.15256118774414,50.8520622253418,3.0830793380737305,0.0006999970646575093,,,,98225
17,,,,,20.238094329833984,43.21428680419922,3.3819737434387207,104003
17,27.138654708862305,50.96517562866211,3.085097074508667,0.0006999970646575093,,,,104003
18,,,,,19.829931259155273,42.89115524291992,3.374387264251709,109781
18,27.300907135009766,50.990516662597656,3.0809855461120605,0.0006999970646575093,,,,109781
19,,,,,19.778911590576172,42.27891159057617,3.4097607135772705,115559
19,27.1741943359375,51.071800231933594,3.080843448638916,0.0006999970646575093,,,,115559
20,,,,,20.4761905670166,43.46938705444336,3.3574378490448,121337
20,27.43998146057129,51.01555252075195,3.078181028366089,0.0006999970646575093,,,,121337
21,,,,,19.5238094329834,43.75850296020508,3.372331380844116,127115
21,27.399805068969727,51.14040756225586,3.072796583175659,0.0006999970646575093,,,,127115
22,,,,,20.306121826171875,42.125850677490234,3.4018073081970215,132893
22,27.42329216003418,51.13762664794922,3.0735836029052734,0.0006999970646575093,,,,132893
23,,,,,20.952381134033203,42.448978424072266,3.409543991088867,138671
23,27.600997924804688,51.25692367553711,3.0696334838867188,0.0006999970646575093,,,,138671
24,,,,,20.034013748168945,42.70408248901367,3.3957746028900146,144449
24,27.503955841064453,51.25414276123047,3.0685324668884277,0.0006999970646575093,,,,144449
25,,,,,19.676870346069336,42.58503341674805,3.3914852142333984,150227
25,27.706077575683594,51.48624038696289,3.064271926879883,0.0006999970646575093,,,,150227
26,,,,,19.93197250366211,40.61224365234375,3.4409079551696777,156005
26,27.49622917175293,51.35056686401367,3.067122220993042,0.0006999970646575093,,,,156005
27,,,,,20.28911590576172,43.07823181152344,3.398045539855957,161783
27,27.728946685791016,51.455955505371094,3.061570405960083,0.0006999970646575093,,,,161783
28,,,,,19.914966583251953,41.632652282714844,3.414693832397461,167561
28,27.649520874023438,51.506019592285156,3.0622754096984863,0.0006999970646575093,,,,167561
29,,,,,20.306121826171875,42.738094329833984,3.399597644805908,173339
29,27.709476470947266,51.56937789916992,3.0577688217163086,0.0006999970646575093,,,,173339
30,,,,,20.238094329833984,43.50340270996094,3.382946014404297,179117
30,27.70051383972168,51.500457763671875,3.05830717086792,0.0006999970646575093,,,,179117
31,,,,,20.06802749633789,43.89455795288086,3.375490188598633,184895
31,27.672080993652344,51.70505142211914,3.0573549270629883,0.0006999970646575093,,,,184895
