band,case,hidden_dim,dropout,wd,batch_size,epochs,fold_mean_accuracy_percent,fold_std_accuracy_percent,overall_accuracy_percent,mean_subject_accuracy_percent,std_subject_accuracy_percent,result_dir,run_root
4_47_paper100,current_default,"[128, 64]",0.1,0.0022,512,100,40.5944441,5.695577720390803,40.42876500193574,40.42876500193574,13.429271396302926,runs/variants/clisa_447_seq_paperpre_mlp128/published,runs/variants/clisa_447_seq_paperpre_mlp128/published
4_47_paper100,paper_30_30_wd0011,"[30, 30]",0.0,0.011,256,100,40.45813489999999,5.142700713511072,40.29616724738676,40.29616724738676,12.398309383561205,runs/variants/clisa_447_seq_paperpre_mlp30_wd0011/published,runs/variants/clisa_447_seq_paperpre_mlp30_wd0011/published
