epoch,mlp/train/acc,mlp/train/loss,mlp/val/acc,mlp/val/loss,step
0,,,37.81745910644531,1.7775014638900757,182
0,31.386743545532227,1.915661334991455,,,182
1,,,42.876983642578125,1.6625518798828125,365
1,42.64585876464844,1.6287729740142822,,,365
2,,,44.77182388305664,1.6264787912368774,548
2,47.732730865478516,1.4913157224655151,,,548
3,,,44.275794982910156,1.6387202739715576,731
3,51.45216751098633,1.392247200012207,,,731
4,,,44.10714340209961,1.6483745574951172,914
4,54.59352111816406,1.3104013204574585,,,914
5,,,44.64285659790039,1.6916197538375854,1097
5,57.1793212890625,1.23924720287323,,,1097
6,,,45.55555725097656,1.6728004217147827,1280
6,59.25890350341797,1.179964303970337,,,1280
7,,,44.77182388305664,1.670763373374939,1463
7,61.09502410888672,1.12844717502594,,,1463
8,,,43.105159759521484,1.731891393661499,1646
8,63.074859619140625,1.0750240087509155,,,1646
9,,,45.35714340209961,1.7568659782409668,1829
9,64.79193115234375,1.0275695323944092,,,1829
10,,,44.85118865966797,1.7402688264846802,2012
10,66.312744140625,0.9835609197616577,,,2012
11,,,44.44444274902344,1.7994961738586426,2195
11,68.02981567382812,0.9402416944503784,,,2195
12,,,44.36507797241211,1.8009498119354248,2378
12,69.33719635009766,0.9035152792930603,,,2378
13,,,44.59325408935547,1.8239798545837402,2561
13,70.7775650024414,0.8649240136146545,,,2561
14,,,44.80158615112305,1.8638627529144287,2744
14,71.82754516601562,0.8369981646537781,,,2744
15,,,43.89881134033203,1.8615425825119019,2927
15,73.36336517333984,0.7964498400688171,,,2927
16,,,44.78174591064453,1.8992483615875244,3110
16,74.24603271484375,0.7722321152687073,,,3110
17,,,43.69047546386719,1.9111560583114624,3293
17,75.30030059814453,0.7452465295791626,,,3293
18,,,43.382938385009766,1.9311414957046509,3476
18,76.32131958007812,0.7169798612594604,,,3476
19,,,43.35317611694336,1.9647250175476074,3659
19,77.28227996826172,0.6950592398643494,,,3659
20,,,41.88492202758789,1.9638030529022217,3842
20,78.24109649658203,0.6692032814025879,,,3842
21,,,42.91666793823242,1.9666465520858765,4025
21,79.14521789550781,0.6508544087409973,,,4025
22,,,42.787696838378906,1.9678518772125244,4208
22,79.54633331298828,0.630623459815979,,,4208
23,,,42.132938385009766,2.0252978801727295,4391
23,80.25847625732422,0.6169397234916687,,,4391
24,,,44.29563522338867,2.03678297996521,4574
24,81.28807067871094,0.5961435437202454,,,4574
25,,,42.14285659790039,2.018239736557007,4757
25,81.46932983398438,0.5869408845901489,,,4757
26,,,42.80754089355469,2.0270628929138184,4940
26,82.1332015991211,0.5699971318244934,,,4940
27,,,43.19444274902344,2.0176312923431396,5123
27,82.73916625976562,0.5546116828918457,,,5123
28,,,42.09325408935547,2.0322883129119873,5306
28,83.4759750366211,0.5378655195236206,,,5306
29,,,43.244049072265625,2.064589023590088,5489
29,83.78485870361328,0.5274237394332886,,,5489
30,,,42.50992202758789,2.0543856620788574,5672
30,84.42942810058594,0.5118002891540527,,,5672
31,,,43.39285659790039,2.0921192169189453,5855
31,84.66108703613281,0.5048218369483948,,,5855
32,,,42.31150817871094,2.1587345600128174,6038
32,85.0150146484375,0.49390560388565063,,,6038
33,,,42.10317611694336,2.1024410724639893,6221
33,85.37430572509766,0.48529279232025146,,,6221
34,,,42.519840240478516,2.141423225402832,6404
34,85.77434539794922,0.4755527079105377,,,6404
35,,,43.0853157043457,2.114140748977661,6587
35,85.98992156982422,0.47227221727371216,,,6587
36,,,42.80754089355469,2.14281964302063,6770
36,86.50042724609375,0.4598686397075653,,,6770
37,,,43.13492202758789,2.141683578491211,6953
37,86.7824935913086,0.45366984605789185,,,6953
38,,,43.7103157043457,2.1317312717437744,7136
38,86.9680404663086,0.4461857080459595,,,7136
39,,,42.44047546386719,2.1421475410461426,7319
39,87.1803970336914,0.4443598687648773,,,7319
40,,,43.54166793823242,2.1653974056243896,7502
40,87.2093505859375,0.4398593306541443,,,7502
41,,,41.88492202758789,2.14605712890625,7685
41,87.88288116455078,0.42778682708740234,,,7685
42,,,42.68849182128906,2.2223784923553467,7868
42,87.88395690917969,0.42501819133758545,,,7868
43,,,42.50992202758789,2.215848445892334,8051
43,88.01265716552734,0.4205155670642853,,,8051
44,,,41.65674591064453,2.1974403858184814,8234
44,88.38695526123047,0.4108036160469055,,,8234
45,,,41.2896842956543,2.137068033218384,8417
45,88.46310424804688,0.4094250202178955,,,8417
46,,,41.65674591064453,2.194396495819092,8600
46,88.66259002685547,0.4036097228527069,,,8600
47,,,43.30356979370117,2.273952007293701,8783
47,88.69476318359375,0.4050551950931549,,,8783
48,,,42.658729553222656,2.2011706829071045,8966
48,88.75911712646484,0.40142327547073364,,,8966
49,,,43.363094329833984,2.2035470008850098,9149
49,89.03260040283203,0.3924431800842285,,,9149
50,,,41.716270446777344,2.201111316680908,9332
50,89.28571319580078,0.3894278109073639,,,9332
51,,,41.279762268066406,2.219197988510132,9515
51,89.28893280029297,0.39013344049453735,,,9515
52,,,42.113094329833984,2.212413787841797,9698
52,89.71257019042969,0.3800590932369232,,,9698
53,,,41.140872955322266,2.303222894668579,9881
53,89.76297760009766,0.3788597881793976,,,9881
54,,,43.0853157043457,2.202415704727173,10064
54,89.2535400390625,0.3917709290981293,,,10064
55,,,42.966270446777344,2.1769697666168213,10247
55,89.91419982910156,0.37506136298179626,,,10247
56,,,41.38888931274414,2.1862001419067383,10430
56,90.1394271850586,0.3691968619823456,,,10430
57,,,41.25,2.1809194087982178,10613
