true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,33.50496838,6.58536585,7.43450768,6.86540199,11.82475158,5.10388437,8.77145438,5.13098464,14.77868112
Disgust,2.43902439,57.57000903,7.57000903,6.44083107,9.21409214,5.46522132,2.99909666,5.62782294,2.67389341
Fear,6.81120145,12.15898826,37.71454381,3.59530262,7.99457995,11.86088528,5.43812105,6.22402891,8.20234869
Sadness,11.42728094,6.79313460,3.36043360,30.27100271,23.34236676,3.71273713,4.82384824,7.53387534,8.73532069
Neutral,6.40921409,7.10704607,2.73035230,8.30623306,56.86991870,3.97696477,4.30216802,4.56639566,5.73170732
Amusement,7.19963866,5.51942186,9.34056007,4.57994580,6.92863595,47.56097561,5.02258356,6.91056911,6.93766938
Inspiration,12.47515808,7.15447154,9.45799458,8.22041554,16.68473351,8.33785005,22.40289070,5.91689250,9.34959350
Joy,5.52845528,11.34598013,10.00903342,9.86449864,12.04155375,15.56458898,6.26016260,20.74074074,8.64498645
Tenderness,10.86720867,4.22764228,5.42908762,5.03161698,9.90063234,3.85727191,6.55826558,5.40198735,48.72628726
