true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,4345.00000000,607.00000000,714.00000000,837.00000000,1322.00000000,475.00000000,1056.00000000,726.00000000,988.00000000
Disgust,370.00000000,5889.00000000,867.00000000,907.00000000,939.00000000,431.00000000,457.00000000,916.00000000,294.00000000
Fear,681.00000000,972.00000000,4411.00000000,414.00000000,676.00000000,1334.00000000,676.00000000,998.00000000,908.00000000
Sadness,647.00000000,823.00000000,625.00000000,3705.00000000,2574.00000000,316.00000000,684.00000000,986.00000000,710.00000000
Neutral,815.00000000,663.00000000,779.00000000,1310.00000000,7663.00000000,623.00000000,766.00000000,900.00000000,1241.00000000
Amusement,606.00000000,578.00000000,887.00000000,527.00000000,803.00000000,5010.00000000,1095.00000000,1081.00000000,483.00000000
Inspiration,1112.00000000,575.00000000,805.00000000,935.00000000,1368.00000000,716.00000000,3856.00000000,744.00000000,959.00000000
Joy,623.00000000,632.00000000,1224.00000000,1441.00000000,1023.00000000,1510.00000000,1031.00000000,2792.00000000,794.00000000
Tenderness,960.00000000,298.00000000,720.00000000,713.00000000,994.00000000,731.00000000,1087.00000000,618.00000000,4949.00000000
