true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,36.12466125,6.64859982,7.66034327,7.36224029,14.52574526,3.99277326,6.01626016,4.06504065,13.60433604
Disgust,3.94760614,58.85275519,7.72357724,4.57994580,9.55736224,4.22764228,3.54110208,4.22764228,3.34236676
Fear,5.26648600,10.42457091,42.81842818,3.01716350,7.22673893,15.00451671,6.05239386,4.56187895,5.62782294
Sadness,9.85546522,8.59981933,3.17976513,30.23486902,23.72177055,4.41734417,4.24570912,8.08491418,7.66034327
Neutral,6.22628726,5.24390244,2.24254743,9.30216802,60.00677507,4.20054201,3.43495935,4.03116531,5.31165312
Amusement,6.13369467,6.19692864,9.84643180,3.64046974,8.22041554,48.88888889,4.22764228,6.46793135,6.37759711
Inspiration,16.27822945,6.89250226,11.75248419,6.26919603,14.04697380,8.95212285,18.09394761,4.85094851,12.86359530
Joy,6.22402891,9.93676603,9.52122855,10.62330623,14.05600723,21.17434508,7.73261066,14.70641373,6.02529359
Tenderness,11.01174345,3.41463415,5.22131888,4.25474255,13.79403794,6.22402891,5.31165312,4.39927733,46.36856369
