true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,3999.00000000,736.00000000,848.00000000,815.00000000,1608.00000000,442.00000000,666.00000000,450.00000000,1506.00000000
Disgust,437.00000000,6515.00000000,855.00000000,507.00000000,1058.00000000,468.00000000,392.00000000,468.00000000,370.00000000
Fear,583.00000000,1154.00000000,4740.00000000,334.00000000,800.00000000,1661.00000000,670.00000000,505.00000000,623.00000000
Sadness,1091.00000000,952.00000000,352.00000000,3347.00000000,2626.00000000,489.00000000,470.00000000,895.00000000,848.00000000
Neutral,919.00000000,774.00000000,331.00000000,1373.00000000,8857.00000000,620.00000000,507.00000000,595.00000000,784.00000000
Amusement,679.00000000,686.00000000,1090.00000000,403.00000000,910.00000000,5412.00000000,468.00000000,716.00000000,706.00000000
Inspiration,1802.00000000,763.00000000,1301.00000000,694.00000000,1555.00000000,991.00000000,2003.00000000,537.00000000,1424.00000000
Joy,689.00000000,1100.00000000,1054.00000000,1176.00000000,1556.00000000,2344.00000000,856.00000000,1628.00000000,667.00000000
Tenderness,1219.00000000,378.00000000,578.00000000,471.00000000,1527.00000000,689.00000000,588.00000000,487.00000000,5133.00000000
