epoch,mlp/train/acc,mlp/train/loss,mlp/val/acc,mlp/val/loss,step
0,,,36.5476188659668,1.8398704528808594,182
0,27.900043487548828,1.9731494188308716,,,182
1,,,41.03174591064453,1.716970443725586,365
1,39.38652801513672,1.7118655443191528,,,365
2,,,43.869049072265625,1.6783744096755981,548
2,44.45195007324219,1.5780538320541382,,,548
3,,,45.3273811340332,1.6629161834716797,731
3,48.341915130615234,1.4828498363494873,,,731
4,,,44.494049072265625,1.673354983329773,914
4,51.321319580078125,1.405496597290039,,,914
5,,,44.32539749145508,1.686497449874878,1097
5,53.993995666503906,1.339355707168579,,,1097
6,,,46.369049072265625,1.6863291263580322,1280
6,55.85585403442383,1.283372402191162,,,1280
7,,,46.43849182128906,1.6803069114685059,1463
7,57.86357879638672,1.2311053276062012,,,1463
8,,,45.466270446777344,1.7034237384796143,1646
8,59.66216278076172,1.184616208076477,,,1646
9,,,44.59325408935547,1.7192472219467163,1829
9,61.36529541015625,1.139713168144226,,,1829
10,,,44.95039749145508,1.7326958179473877,2012
10,62.685543060302734,1.0970444679260254,,,2012
11,,,41.93452453613281,1.782320499420166,2195
11,64.31253051757812,1.0586299896240234,,,2195
12,,,43.66071319580078,1.7649900913238525,2378
12,65.41827392578125,1.0240724086761475,,,2378
13,,,44.92063522338867,1.7979472875595093,2561
13,66.78785705566406,0.9861648082733154,,,2561
14,,,43.25396728515625,1.8329942226409912,2744
14,67.41312408447266,0.9630867838859558,,,2744
15,,,42.56944274902344,1.837170958518982,2927
15,68.75482940673828,0.9299540519714355,,,2927
16,,,43.0853157043457,1.851235270500183,3110
16,69.65143585205078,0.9048868417739868,,,3110
17,,,42.966270446777344,1.8686426877975464,3293
17,70.8108139038086,0.87772136926651,,,3293
18,,,41.64682388305664,1.9126925468444824,3476
18,71.70313262939453,0.8552603721618652,,,3476
19,,,43.55158615112305,1.877076506614685,3659
19,72.38845825195312,0.8318607211112976,,,3659
20,,,41.279762268066406,1.9260932207107544,3842
20,72.97618865966797,0.8130131363868713,,,3842
21,,,41.994049072265625,1.9625740051269531,4025
21,74.03153228759766,0.791067898273468,,,4025
22,,,40.45634841918945,1.9798134565353394,4208
22,74.52273559570312,0.7747479677200317,,,4208
23,,,41.44841384887695,1.978224754333496,4391
23,75.26276397705078,0.756593644618988,,,4391
24,,,41.5773811340332,1.996148943901062,4574
24,75.68211364746094,0.7420439720153809,,,4574
25,,,42.4603157043457,1.978119969367981,4757
25,76.45538330078125,0.7267410755157471,,,4757
26,,,41.5476188659668,2.014085531234741,4940
26,76.79644012451172,0.7136321663856506,,,4940
