fold,best_val_accuracy_percent
0,41.994049072265625
1,48.412696838378906
2,41.65674591064453
3,54.880950927734375
4,47.66865158081055
5,44.20634841918945
6,37.390872955322266
7,34.7023811340332
8,37.69841384887695
9,36.619049072265625
