true\pred,Anger,Disgust,Fear,Sadness,Neutral,Amusement,Inspiration,Joy,Tenderness
Anger,4190.00000000,559.00000000,498.00000000,950.00000000,1283.00000000,435.00000000,1100.00000000,666.00000000,1389.00000000
Disgust,432.00000000,6085.00000000,947.00000000,798.00000000,731.00000000,519.00000000,490.00000000,736.00000000,332.00000000
Fear,684.00000000,797.00000000,4646.00000000,296.00000000,947.00000000,1140.00000000,743.00000000,915.00000000,902.00000000
Sadness,1079.00000000,899.00000000,346.00000000,4118.00000000,2007.00000000,481.00000000,688.00000000,1035.00000000,417.00000000
Neutral,1009.00000000,524.00000000,448.00000000,1425.00000000,7561.00000000,603.00000000,1123.00000000,822.00000000,1245.00000000
Amusement,592.00000000,620.00000000,1243.00000000,514.00000000,647.00000000,5030.00000000,891.00000000,975.00000000,558.00000000
Inspiration,1041.00000000,513.00000000,885.00000000,757.00000000,1241.00000000,767.00000000,4075.00000000,738.00000000,1053.00000000
Joy,633.00000000,783.00000000,969.00000000,1009.00000000,1215.00000000,1802.00000000,985.00000000,2898.00000000,776.00000000
Tenderness,755.00000000,266.00000000,668.00000000,735.00000000,1144.00000000,602.00000000,1155.00000000,562.00000000,5183.00000000
