epoch,ext/train/acc,ext/train/acc5,ext/train/loss,ext/train/lr,ext/val/acc,ext/val/acc5,ext/val/loss,step
0,,,,,28.219696044921875,52.70562744140625,3.073958158493042,6104
0,16.857376098632812,37.95659255981445,3.5541486740112305,0.0006999970646575093,,,,6104
1,,,,,29.761905670166016,54.572509765625,2.9818387031555176,12209
1,21.082836151123047,43.30203628540039,3.3566200733184814,0.0006999970646575093,,,,12209
2,,,,,29.545454025268555,55.22186279296875,2.9857490062713623,18314
2,22.286182403564453,44.93477249145508,3.3069040775299072,0.0006999970646575093,,,,18314
3,,,,,30.573593139648438,55.9523811340332,2.936439037322998,24419
3,22.999589920043945,45.82221984863281,3.2715706825256348,0.0006999970646575093,,,,24419
4,,,,,30.871212005615234,55.54653549194336,2.9348275661468506,30524
4,23.40060806274414,46.267112731933594,3.2550265789031982,0.0006999970646575093,,,,30524
5,,,,,31.709957122802734,55.4112548828125,2.9336626529693604,36629
5,23.627002716064453,46.46981430053711,3.2371716499328613,0.0006999970646575093,,,,36629
6,,,,,29.978355407714844,54.65367889404297,2.935812473297119,42734
6,24.180999755859375,46.97642517089844,3.2197842597961426,0.0006999970646575093,,,,42734
7,,,,,30.221860885620117,56.22294235229492,2.9240543842315674,48839
7,24.661577224731445,47.536563873291016,3.1970772743225098,0.0006999970646575093,,,,48839
8,,,,,31.222944259643555,56.95346450805664,2.8926031589508057,54944
8,24.830934524536133,47.786651611328125,3.1899759769439697,0.0006999970646575093,,,,54944
9,,,,,31.65584373474121,57.06168746948242,2.8557260036468506,61049
9,24.987714767456055,47.998714447021484,3.17956805229187,0.0006999970646575093,,,,61049
10,,,,,30.97943687438965,57.6298713684082,2.873609781265259,67154
10,25.1646785736084,48.32368087768555,3.1739754676818848,0.0006999970646575093,,,,67154
11,,,,,31.16883087158203,57.98160171508789,2.8727364540100098,73259
11,25.238388061523438,48.3151969909668,3.1715617179870605,0.0006999970646575093,,,,73259
12,,,,,32.19696807861328,56.682899475097656,2.886472463607788,79364
12,25.466245651245117,48.66181182861328,3.164426803588867,0.0006999970646575093,,,,79364
13,,,,,31.006492614746094,57.11580276489258,2.901735782623291,85469
13,25.398969650268555,48.49274444580078,3.1624298095703125,0.0006999970646575093,,,,85469
14,,,,,31.304113388061523,56.5476188659668,2.86584210395813,91574
14,25.460981369018555,48.54510498046875,3.1592023372650146,0.0006999970646575093,,,,91574
15,,,,,33.630950927734375,58.522727966308594,2.8378636837005615,97679
15,25.56511116027832,48.7729606628418,3.156175136566162,0.0006999970646575093,,,,97679
16,,,,,31.493507385253906,58.549781799316406,2.8522465229034424,103784
16,25.590559005737305,48.872703552246094,3.153188943862915,0.0006999970646575093,,,,103784
17,,,,,34.71320343017578,59.9837646484375,2.7875545024871826,109889
17,25.709312438964844,48.90751266479492,3.148252248764038,0.0006999970646575093,,,,109889
18,,,,,33.87445831298828,58.27922058105469,2.8203344345092773,115994
18,25.732128143310547,49.12864303588867,3.142493724822998,0.0006999970646575093,,,,115994
19,,,,,32.25108337402344,57.44047546386719,2.868664026260376,122099
19,25.614543914794922,48.953433990478516,3.147130250930786,0.0006999970646575093,,,,122099
20,,,,,31.73701286315918,57.76515197753906,2.8571019172668457,128204
20,25.7125301361084,48.83584976196289,3.1495361328125,0.0006999970646575093,,,,128204
21,,,,,34.49675369262695,59.6861457824707,2.8101248741149902,134309
21,25.769567489624023,49.09061813354492,3.1448709964752197,0.0006999970646575093,,,,134309
22,,,,,31.845237731933594,58.549781799316406,2.8689260482788086,140414
22,25.849714279174805,49.14209747314453,3.1413252353668213,0.0006999970646575093,,,,140414
23,,,,,32.413421630859375,58.06277084350586,2.8450186252593994,146519
23,25.76869010925293,48.98970413208008,3.1403040885925293,0.0006999970646575093,,,,146519
24,,,,,31.980520248413086,57.90043258666992,2.8465213775634766,152624
24,25.758745193481445,49.17222595214844,3.141845464706421,0.0006999970646575093,,,,152624
25,,,,,34.03679656982422,59.76731491088867,2.8020260334014893,158729
25,25.9295654296875,49.13273620605469,3.1379477977752686,0.0006999970646575093,,,,158729
26,,,,,34.44264221191406,59.71320343017578,2.792092800140381,164834
26,25.799110412597656,49.2453498840332,3.1383869647979736,0.0006999970646575093,,,,164834
27,,,,,33.360389709472656,58.306278228759766,2.8394289016723633,170939
27,25.90060806274414,49.39130783081055,3.1342270374298096,0.0006999970646575093,,,,170939
28,,,,,32.332252502441406,57.873374938964844,2.859410047531128,177044
28,26.012636184692383,49.3524055480957,3.1350719928741455,0.0006999970646575093,,,,177044
29,,,,,32.90043258666992,58.441558837890625,2.8449041843414307,183149
29,25.7125301361084,49.25997543334961,3.135637044906616,0.0006999970646575093,,,,183149
30,,,,,34.334415435791016,58.90151596069336,2.8254876136779785,189254
30,25.896806716918945,49.328125,3.1366584300994873,0.0006999970646575093,,,,189254
31,,,,,34.388526916503906,58.90151596069336,2.8194990158081055,195359
