epoch,ext/train/acc,ext/train/acc5,ext/train/loss,ext/train/lr,ext/val/acc,ext/val/acc5,ext/val/loss,step
0,,,,,24.08008575439453,46.130950927734375,3.227839708328247,6104
0,16.929624557495117,38.3070068359375,3.544618844985962,0.0006999970646575093,,,,6104
1,,,,,27.35389518737793,49.32359313964844,3.1548264026641846,12209
1,21.143091201782227,43.65742492675781,3.3506357669830322,0.0006999970646575093,,,,12209
2,,,,,25.730520248413086,50.08116912841797,3.1277756690979004,18314
2,22.507312774658203,45.37791061401367,3.293747901916504,0.0006999970646575093,,,,18314
3,,,,,26.055194854736328,49.756492614746094,3.1380693912506104,24419
3,23.232128143310547,46.308353424072266,3.2640442848205566,0.0006999970646575093,,,,24419
4,,,,,26.81277084350586,49.91883087158203,3.1380977630615234,30524
4,23.64835548400879,46.64619064331055,3.2409756183624268,0.0006999970646575093,,,,30524
5,,,,,27.245670318603516,50.5411262512207,3.0777511596679688,36629
5,23.794313430786133,46.9278678894043,3.2297773361206055,0.0006999970646575093,,,,36629
6,,,,,28.11147117614746,51.24458694458008,3.041905641555786,42734
6,24.26319122314453,47.43798828125,3.2123024463653564,0.0006999970646575093,,,,42734
7,,,,,28.05735969543457,51.32575607299805,3.028916358947754,48839
7,24.639347076416016,48.01450729370117,3.1907036304473877,0.0006999970646575093,,,,48839
8,,,,,30.303030014038086,52.299781799316406,2.998706102371216,54944
8,24.863401412963867,48.18766784667969,3.186509847640991,0.0006999970646575093,,,,54944
9,,,,,28.19264030456543,51.32575607299805,3.060145616531372,61049
9,24.90815544128418,48.23271179199219,3.1806066036224365,0.0006999970646575093,,,,61049
10,,,,,26.163419723510742,49.51298522949219,3.1038224697113037,67154
10,25.226688385009766,48.64397048950195,3.166966438293457,0.0006999970646575093,,,,67154
11,,,,,29.220779418945312,52.056278228759766,3.0299437046051025,73259
11,25.212648391723633,48.61003875732422,3.164071798324585,0.0006999970646575093,,,,73259
12,,,,,29.51839828491211,53.27381134033203,2.9970650672912598,79364
12,25.414766311645508,48.8490104675293,3.157682180404663,0.0006999970646575093,,,,79364
13,,,,,28.517316818237305,52.02922058105469,3.0470921993255615,85469
13,25.41067123413086,48.904293060302734,3.1529088020324707,0.0006999970646575093,,,,85469
14,,,,,29.16666603088379,53.76082229614258,2.9962260723114014,91574
14,25.491107940673828,48.9478759765625,3.1491787433624268,0.0006999970646575093,,,,91574
15,,,,,29.356060028076172,53.32792282104492,3.012265205383301,97679
15,25.71487045288086,49.121620178222656,3.1427643299102783,0.0006999970646575093,,,,97679
16,,,,,29.761905670166016,52.191558837890625,2.9961142539978027,103784
16,25.753480911254883,49.321693420410156,3.1379785537719727,0.0006999970646575093,,,,103784
17,,,,,27.9761905670166,51.70454406738281,3.04168701171875,109889
17,25.888031005859375,49.51064682006836,3.1338412761688232,0.0006999970646575093,,,,109889
18,,,,,28.382034301757812,51.9751091003418,3.0196239948272705,115994
18,26.006492614746094,49.52556610107422,3.129150629043579,0.0006999970646575093,,,,115994
19,,,,,29.978355407714844,53.111473083496094,2.976478099822998,122099
19,25.93570899963379,49.50099563598633,3.1262059211730957,0.0006999970646575093,,,,122099
20,,,,,27.35389518737793,51.46104049682617,3.0665812492370605,128204
20,26.11676597595215,49.63408279418945,3.1269311904907227,0.0006999970646575093,,,,128204
21,,,,,27.4350643157959,51.59632110595703,3.0635604858398438,134309
21,26.046566009521484,49.72212600708008,3.1228525638580322,0.0006999970646575093,,,,134309
22,,,,,27.597402572631836,51.433982849121094,3.0714030265808105,140414
22,26.28700065612793,49.95671081542969,3.1155171394348145,0.0006999970646575093,,,,140414
23,,,,,29.058441162109375,53.05735778808594,3.0096285343170166,146519
23,26.252487182617188,49.868961334228516,3.113102436065674,0.0006999970646575093,,,,146519
24,,,,,29.978355407714844,52.62445831298828,2.99808931350708,152624
24,26.19544792175293,49.86457061767578,3.1162195205688477,0.0006999970646575093,,,,152624
25,,,,,29.38311767578125,53.950218200683594,2.9946365356445312,158729
25,26.20393180847168,49.826255798339844,3.115199327468872,0.0006999970646575093,,,,158729
26,,,,,29.680736541748047,54.49134063720703,2.995110511779785,164834
26,26.24429702758789,50.07429504394531,3.1097190380096436,0.0006999970646575093,,,,164834
27,,,,,29.84307289123535,53.7337646484375,2.984752655029297,170939
27,26.240785598754883,49.96694564819336,3.111243724822998,0.0006999970646575093,,,,170939
28,,,,,29.572511672973633,52.137447357177734,3.0090134143829346,177044
28,26.267696380615234,50.000877380371094,3.111234664916992,0.0006999970646575093,,,,177044
29,,,,,30.086580276489258,52.73268508911133,2.9778475761413574,183149
29,26.120861053466797,49.85491943359375,3.1179709434509277,0.0006999970646575093,,,,183149
30,,,,,28.62554168701172,52.191558837890625,3.0338592529296875,189254
30,26.368022918701172,49.928043365478516,3.1092655658721924,0.0006999970646575093,,,,189254
31,,,,,27.895021438598633,52.86796569824219,3.0375819206237793,195359
31,26.254241943359375,50.086578369140625,3.1090850830078125,0.0006999970646575093,,,,195359
32,,,,,29.626623153686523,52.272727966308594,3.0236330032348633,201464
32,26.393470764160156,50.12372589111328,3.1061296463012695,0.0006999970646575093,,,,201464
33,,,,,30.600648880004883,54.761905670166016,2.9445908069610596,207569
33,26.38118553161621,50.07341766357422,3.105231285095215,0.0006999970646575093,,,,207569
34,,,,,27.056276321411133,50.02705764770508,3.0847535133361816,213674
