epoch,mlp/train/acc,mlp/train/loss,mlp/val/acc,mlp/val/loss,step
0,,,29.46825408935547,1.9847075939178467,177
0,32.0557746887207,1.9082813262939453,,,177
1,,,32.57143020629883,1.9349944591522217,355
1,43.255069732666016,1.6087632179260254,,,355
2,,,31.753969192504883,1.9586858749389648,533
2,48.31459426879883,1.4641422033309937,,,533
3,,,32.119049072265625,1.9586405754089355,711
3,51.97530746459961,1.3645875453948975,,,711
4,,,33.126983642578125,1.9771292209625244,889
4,55.23147964477539,1.2832454442977905,,,889
5,,,33.10317611694336,2.0024173259735107,1067
5,57.869266510009766,1.2099095582962036,,,1067
6,,,33.849205017089844,2.0128355026245117,1245
6,60.2171516418457,1.148788332939148,,,1245
7,,,33.095237731933594,2.065737009048462,1423
7,62.529762268066406,1.0894732475280762,,,1423
8,,,32.0,2.100450277328491,1601
8,64.31327056884766,1.039044976234436,,,1601
9,,,34.25396728515625,2.089867353439331,1779
9,66.22244262695312,0.988834798336029,,,1779
10,,,35.20634841918945,2.1403005123138428,1957
10,67.95635223388672,0.9422867894172668,,,1957
11,,,34.22222137451172,2.1772077083587646,2135
11,69.67151641845703,0.898857831954956,,,2135
12,,,33.66666793823242,2.178694486618042,2313
12,70.89506530761719,0.8621418476104736,,,2313
13,,,34.738094329833984,2.2354416847229004,2491
13,72.20789337158203,0.8219910860061646,,,2491
14,,,34.349205017089844,2.230412244796753,2669
14,73.68165588378906,0.7892707586288452,,,2669
15,,,35.761905670166016,2.259058713912964,2847
15,74.75308990478516,0.758902907371521,,,2847
16,,,36.42063522338867,2.283808469772339,3025
16,75.6911392211914,0.7313713431358337,,,3025
17,,,35.9523811340332,2.311319589614868,3203
17,76.78571319580078,0.7006531953811646,,,3203
18,,,34.261905670166016,2.3560192584991455,3381
18,77.87257385253906,0.67503821849823,,,3381
19,,,36.412696838378906,2.3709075450897217,3559
19,78.70259857177734,0.6560930013656616,,,3559
20,,,35.39682388305664,2.398189067840576,3737
20,79.39484405517578,0.633037805557251,,,3737
21,,,36.11111068725586,2.421379804611206,3915
21,80.2281723022461,0.6125839352607727,,,3915
22,,,34.873016357421875,2.4305925369262695,4093
22,81.26873779296875,0.5907645225524902,,,4093
23,,,35.07143020629883,2.4514429569244385,4271
23,81.93341827392578,0.5722373723983765,,,4271
24,,,34.60317611694336,2.489006280899048,4449
24,82.4206314086914,0.5568106770515442,,,4449
25,,,35.30158615112305,2.510432243347168,4627
25,82.9343032836914,0.5454497933387756,,,4627
26,,,35.60317611694336,2.5083858966827393,4805
26,83.42813110351562,0.5312157869338989,,,4805
27,,,35.404762268066406,2.5500991344451904,4983
27,84.24603271484375,0.5154642462730408,,,4983
28,,,34.64285659790039,2.531040668487549,5161
28,84.55908203125,0.5040003061294556,,,5161
29,,,35.595237731933594,2.5851211547851562,5339
29,85.1917953491211,0.4881395101547241,,,5339
30,,,36.22222137451172,2.5727241039276123,5517
30,85.56217193603516,0.47906264662742615,,,5517
31,,,35.341270446777344,2.63102388381958,5695
31,85.8465576171875,0.47007378935813904,,,5695
32,,,33.5476188659668,2.633068561553955,5873
32,86.18827056884766,0.45881420373916626,,,5873
33,,,34.07143020629883,2.6288516521453857,6051
33,86.6170654296875,0.44914692640304565,,,6051
34,,,34.4523811340332,2.6677846908569336,6229
34,86.83972930908203,0.44280582666397095,,,6229
35,,,34.5,2.632211685180664,6407
35,87.36331939697266,0.4321041405200958,,,6407
36,,,34.92063522338867,2.660356283187866,6585
36,87.42945098876953,0.429524302482605,,,6585
37,,,35.27777862548828,2.606443405151367,6763
37,87.68628692626953,0.4214988350868225,,,6763
38,,,35.68254089355469,2.664961814880371,6941
38,88.10736083984375,0.4131820797920227,,,6941
39,,,34.80952453613281,2.696958065032959,7119
39,88.34876251220703,0.4056812822818756,,,7119
40,,,34.595237731933594,2.6976518630981445,7297
40,88.40608215332031,0.40126293897628784,,,7297
41,,,35.96825408935547,2.700042724609375,7475
41,88.90983581542969,0.39467617869377136,,,7475
42,,,34.05555725097656,2.6705803871154785,7653
42,88.83928680419922,0.3927513062953949,,,7653
43,,,33.904762268066406,2.70048451423645,7831
43,89.07627868652344,0.3874640166759491,,,7831
44,,,34.0396842956543,2.6998372077941895,8009
44,89.1170654296875,0.3859008550643921,,,8009
45,,,35.4523811340332,2.6881637573242188,8187
45,89.43893432617188,0.3790060877799988,,,8187
46,,,33.595237731933594,2.7114455699920654,8365
46,89.81591796875,0.3706715703010559,,,8365
47,,,34.31745910644531,2.7473552227020264,8543
47,89.82804107666016,0.3701995611190796,,,8543
48,,,35.150794982910156,2.7002885341644287,8721
48,89.96803283691406,0.3667890727519989,,,8721
49,,,33.658729553222656,2.727882146835327,8899
49,90.18628692626953,0.3608417212963104,,,8899
50,,,34.11111068725586,2.689511299133301,9077
50,89.97574615478516,0.36566078662872314,,,9077
51,,,34.269840240478516,2.6927542686462402,9255
51,90.35383605957031,0.3560136556625366,,,9255
52,,,33.849205017089844,2.7279415130615234,9433
52,90.54232788085938,0.3534925580024719,,,9433
53,,,33.57143020629883,2.7349095344543457,9611
53,90.69664764404297,0.3505057096481323,,,9611
54,,,33.484127044677734,2.7699661254882812,9789
54,90.82120513916016,0.3469907343387604,,,9789
55,,,34.10317611694336,2.7136669158935547,9967
55,90.7429428100586,0.3472386598587036,,,9967
56,,,33.650794982910156,2.7167091369628906,10145
56,90.89175415039062,0.3453594446182251,,,10145
57,,,34.904762268066406,2.750225067138672,10323
57,91.12764739990234,0.3374619483947754,,,10323
58,,,33.769840240478516,2.75943922996521,10501
58,91.09236907958984,0.33882981538772583,,,10501
59,,,33.93650817871094,2.7588062286376953,10679
59,91.32275390625,0.3355066478252411,,,10679
60,,,32.0396842956543,2.7844431400299072,10857
60,91.20259857177734,0.33626848459243774,,,10857
61,,,32.5476188659668,2.768542528152466,11035
61,91.37014770507812,0.33300086855888367,,,11035
62,,,34.57143020629883,2.7307844161987305,11213
62,91.38337707519531,0.33189699053764343,,,11213
63,,,33.650794982910156,2.756389617919922,11391
63,91.41754913330078,0.329856276512146,,,11391
64,,,32.738094329833984,2.7441749572753906,11569
64,91.52777862548828,0.32625138759613037,,,11569
65,,,33.015872955322266,2.7453246116638184,11747
65,91.52006530761719,0.32562243938446045,,,11747
66,,,32.515872955322266,2.753804922103882,11925
66,91.73170471191406,0.32296714186668396,,,11925
67,,,33.53174591064453,2.763456344604492,12103
67,91.84964752197266,0.3223975598812103,,,12103
68,,,33.38888931274414,2.797762870788574,12281
68,91.92901611328125,0.31935158371925354,,,12281
69,,,33.38888931274414,2.7923576831817627,12459
69,91.8760986328125,0.31970953941345215,,,12459
70,,,32.849205017089844,2.7756943702697754,12637
70,92.08333587646484,0.3159244954586029,,,12637
71,,,32.9523811340332,2.760380506515503,12815
71,92.0513687133789,0.31619134545326233,,,12815
72,,,33.158729553222656,2.8248369693756104,12993
72,92.0293197631836,0.31551069021224976,,,12993
73,,,32.81745910644531,2.799499034881592,13171
73,92.12742614746094,0.3124349117279053,,,13171
74,,,33.07936477661133,2.805887222290039,13349
74,92.08002471923828,0.31447505950927734,,,13349
75,,,32.79365158081055,2.7678463459014893,13527
75,92.26300811767578,0.3086579144001007,,,13527
76,,,34.17460250854492,2.768031120300293,13705
76,92.15167236328125,0.3114704191684723,,,13705
77,,,32.873016357421875,2.7677712440490723,13883
77,92.36662292480469,0.30826079845428467,,,13883
78,,,33.904762268066406,2.7527270317077637,14061
78,92.40740966796875,0.3046827018260956,,,14061
79,,,34.03174591064453,2.787771224975586,14239
79,92.49669647216797,0.3058622181415558,,,14239
80,,,34.05555725097656,2.79677152633667,14417
80,92.36662292480469,0.3075900375843048,,,14417
81,,,33.13492202758789,2.802992105484009,14595
81,92.40189361572266,0.3066791594028473,,,14595
82,,,33.4603157043457,2.7861061096191406,14773
82,92.47905731201172,0.30399417877197266,,,14773
83,,,33.150794982910156,2.8104708194732666,14951
83,92.58818054199219,0.30054178833961487,,,14951
84,,,32.904762268066406,2.84713077545166,15129
84,92.62235260009766,0.2995431125164032,,,15129
85,,,33.42063522338867,2.783423900604248,15307
85,92.647705078125,0.30045974254608154,,,15307
86,,,32.650794982910156,2.776183605194092,15485
86,92.70281982421875,0.3006732165813446,,,15485
87,,,33.31745910644531,2.8371503353118896,15663
87,92.76124572753906,0.29886433482170105,,,15663
88,,,33.007938385009766,2.758449077606201,15841
88,92.89572143554688,0.2959083318710327,,,15841
89,,,33.849205017089844,2.8251664638519287,16019
