,0
0,0.680952380952381
1,0.7238095238095238
2,0.46785714285714286
3,0.6583333333333333
4,0.6214285714285714
5,0.7011904761904761
6,0.5392857142857143
7,0.5047619047619047
8,0.5666666666666667
9,0.638095238095238
10,0.675
11,0.7571428571428571
12,0.6511904761904762
13,0.6297619047619047
14,0.5261904761904762
15,0.625
16,0.6404761904761904
17,0.638095238095238
18,0.4261904761904762
19,0.5619047619047619
20,0.7571428571428571
21,0.7821428571428571
22,0.6130952380952381
23,0.18333333333333332
24,0.7488095238095238
25,0.7261904761904762
26,0.5142857142857142
27,0.6047619047619047
28,0.7214285714285714
29,0.6404761904761904
30,0.34285714285714286
31,0.6309523809523809
32,0.6738095238095239
33,0.7345238095238096
34,0.45595238095238094
35,0.6357142857142857
36,0.5333333333333333
37,0.5523809523809524
38,0.625
39,0.7083333333333334
40,0.5976190476190476
41,0.7261904761904762
42,0.5083333333333333
43,0.6595238095238095
44,0.7035714285714286
45,0.6214285714285714
46,0.555952380952381
47,0.6464285714285715
48,0.5547619047619048
49,0.5666666666666667
50,0.7273809523809524
51,0.5845238095238096
52,0.5714285714285714
53,0.6321428571428571
54,0.7261904761904762
55,0.6416666666666667
56,0.32976190476190476
57,0.5571428571428572
58,0.6738095238095239
59,0.5
60,0.6904761904761905
61,0.4452380952380952
62,0.6964285714285714
63,0.6130952380952381
64,0.3047619047619048
65,0.5738095238095238
66,0.5476190476190477
67,0.6309523809523809
68,0.5583333333333333
69,0.7071428571428572
70,0.5285714285714286
71,0.6190476190476191
72,0.5
73,0.4880952380952381
74,0.6142857142857143
75,0.5678571428571428
76,0.5428571428571428
77,0.5547619047619048
78,0.5321428571428571
79,0.7321428571428571
80,0.6047619047619047
81,0.6642857142857143
82,0.5238095238095238
83,0.6130952380952381
84,0.6035714285714285
85,0.44166666666666665
86,0.2357142857142857
87,0.46785714285714286
88,0.4785714285714286
89,0.7226190476190476
90,0.6630952380952381
91,0.4392857142857143
92,0.725
93,0.6666666666666666
94,0.5547619047619048
95,0.55
96,0.6226190476190476
97,0.5404761904761904
98,0.5678571428571428
99,0.5797619047619048
100,0.55
101,0.7166666666666667
102,0.44047619047619047
103,0.5321428571428571
104,0.5726190476190476
105,0.4630952380952381
106,0.4166666666666667
107,0.5488095238095239
108,0.38571428571428573
109,0.4714285714285714
110,0.4238095238095238
111,0.5214285714285715
112,0.6428571428571429
113,0.7107142857142857
114,0.736904761904762
115,0.6238095238095238
116,0.6011904761904762
117,0.4976190476190476
118,0.7130952380952381
119,0.7880952380952381
120,0.6166666666666667
121,0.49642857142857144
122,0.5797619047619048
