,0
0,0.9569444444444445
1,0.8236111111111111
2,0.8347222222222223
3,0.875
4,0.7097222222222223
5,0.9833333333333333
6,0.7027777777777777
7,0.6958333333333333
8,0.8097222222222222
9,0.8791666666666667
10,0.9402777777777778
11,0.9486111111111111
12,0.7861111111111111
13,0.7625
14,0.7125
15,0.8319444444444445
16,0.8986111111111111
17,0.7083333333333334
18,0.9069444444444444
19,0.8583333333333333
20,0.95
21,0.9583333333333334
22,0.9055555555555556
23,0.8527777777777777
24,0.8236111111111111
25,0.6152777777777778
26,0.8694444444444445
27,0.8986111111111111
28,0.5638888888888889
29,0.9180555555555555
30,0.8527777777777777
31,0.6722222222222223
32,0.9444444444444444
33,0.8847222222222222
34,0.7916666666666666
35,0.8555555555555555
36,0.9027777777777778
37,0.9763888888888889
38,0.9652777777777778
39,0.7930555555555555
40,0.8277777777777777
41,0.7541666666666667
42,0.8694444444444445
43,0.8513888888888889
44,0.7444444444444445
45,0.7166666666666667
46,0.9666666666666667
47,0.6194444444444445
48,0.8166666666666667
49,0.8388888888888889
50,0.8847222222222222
51,0.7430555555555556
52,0.8902777777777777
53,0.8416666666666667
54,0.8097222222222222
55,0.5972222222222222
56,0.6055555555555555
57,0.8722222222222222
58,0.8333333333333334
59,0.9388888888888889
60,0.4875
61,0.6666666666666666
62,0.9347222222222222
63,0.5125
64,0.8430555555555556
65,0.6666666666666666
66,0.9277777777777778
67,0.8527777777777777
68,0.8263888888888888
69,0.8611111111111112
70,0.8319444444444445
71,0.7388888888888889
72,0.7972222222222223
73,0.9430555555555555
74,0.6902777777777778
75,0.9444444444444444
76,0.7513888888888889
77,0.7472222222222222
78,0.7527777777777778
79,0.8305555555555556
80,0.9555555555555556
81,0.6527777777777778
82,0.8708333333333333
83,0.8125
84,0.8208333333333333
85,0.8208333333333333
86,0.9069444444444444
87,0.6805555555555556
88,0.8388888888888889
89,0.875
90,0.8833333333333333
91,0.9694444444444444
92,0.8847222222222222
93,0.8194444444444444
94,0.7847222222222222
95,0.7888888888888889
96,0.8152777777777778
97,0.9152777777777777
98,0.8958333333333334
99,0.7722222222222223
100,0.925
101,0.8513888888888889
102,0.8555555555555555
103,0.8111111111111111
104,0.8125
105,0.7416666666666667
106,0.9625
107,0.5819444444444445
108,0.8958333333333334
109,0.5888888888888889
110,0.8111111111111111
111,0.8875
112,0.8027777777777778
113,0.8736111111111111
114,0.8291666666666667
115,0.9027777777777778
116,0.7527777777777778
117,0.6138888888888889
118,0.9416666666666667
119,0.5694444444444444
120,0.8083333333333333
121,0.8236111111111111
