,0
0,0.9583333333333334
1,0.8388888888888889
2,0.8194444444444444
3,0.8708333333333333
4,0.7305555555555555
5,0.9819444444444444
6,0.7111111111111111
7,0.6930555555555555
8,0.7888888888888889
9,0.8638888888888889
10,0.9388888888888889
11,0.95
12,0.7861111111111111
13,0.7708333333333334
14,0.7055555555555556
15,0.8319444444444445
16,0.8930555555555556
17,0.7083333333333334
18,0.9111111111111111
19,0.8763888888888889
20,0.95
21,0.9638888888888889
22,0.8972222222222223
23,0.6777777777777778
24,0.8527777777777777
25,0.8208333333333333
26,0.6347222222222222
27,0.8972222222222223
28,0.9013888888888889
29,0.55
30,0.925
31,0.85
32,0.6819444444444445
33,0.9444444444444444
34,0.8888888888888888
35,0.7986111111111112
36,0.8722222222222222
37,0.9055555555555556
38,0.9736111111111111
39,0.9680555555555556
40,0.7902777777777777
41,0.8375
42,0.7555555555555555
43,0.8722222222222222
44,0.8652777777777778
45,0.75
46,0.7138888888888889
47,0.9638888888888889
48,0.6125
49,0.8138888888888889
50,0.8555555555555555
51,0.8666666666666667
52,0.7458333333333333
53,0.875
54,0.8319444444444445
55,0.8138888888888889
56,0.6013888888888889
57,0.6152777777777778
58,0.8763888888888889
59,0.8430555555555556
60,0.9347222222222222
61,0.4722222222222222
62,0.6791666666666667
63,0.9333333333333333
64,0.5166666666666667
65,0.8138888888888889
66,0.6583333333333333
67,0.9291666666666667
68,0.8430555555555556
69,0.8319444444444445
70,0.8652777777777778
71,0.8444444444444444
72,0.7291666666666666
73,0.7875
74,0.9194444444444444
75,0.6472222222222223
76,0.9430555555555555
77,0.7652777777777777
78,0.7597222222222222
79,0.7694444444444445
80,0.8375
81,0.9541666666666667
82,0.6458333333333334
83,0.85
84,0.8083333333333333
85,0.8222222222222222
86,0.7986111111111112
87,0.9097222222222222
88,0.6763888888888889
89,0.8472222222222222
90,0.8638888888888889
91,0.8916666666666667
92,0.9722222222222222
93,0.8625
94,0.8263888888888888
95,0.7888888888888889
96,0.7930555555555555
97,0.8125
98,0.9055555555555556
99,0.8875
100,0.7611111111111111
101,0.9208333333333333
102,0.8527777777777777
103,0.8527777777777777
104,0.8166666666666667
105,0.8208333333333333
106,0.7736111111111111
107,0.9611111111111111
108,0.5847222222222223
109,0.9013888888888889
110,0.6138888888888889
111,0.8069444444444445
112,0.8958333333333334
113,0.8
114,0.8736111111111111
115,0.8402777777777778
116,0.9013888888888889
117,0.7430555555555556
118,0.6430555555555556
119,0.9444444444444444
120,0.5666666666666667
121,0.8152777777777778
122,0.8166666666666667
