epoch,mlp/train/acc,mlp/train/loss,mlp/val/acc,mlp/val/loss,step
0,,,34.54365158081055,1.8841601610183716,182
0,28.94036865234375,1.9566904306411743,,,182
1,,,40.08928680419922,1.799573540687561,365
1,40.96417999267578,1.6779747009277344,,,365
2,,,44.632938385009766,1.723176121711731,548
2,46.08966064453125,1.5384546518325806,,,548
3,,,45.20833206176758,1.7268058061599731,731
3,50.01715850830078,1.4346394538879395,,,731
4,,,47.49007797241211,1.7329151630401611,914
4,53.11454391479492,1.3523491621017456,,,914
5,,,46.537696838378906,1.7658631801605225,1097
5,55.924495697021484,1.282142996788025,,,1097
6,,,48.630950927734375,1.78178870677948,1280
6,58.053409576416016,1.2179368734359741,,,1280
7,,,46.51785659790039,1.7835712432861328,1463
7,60.166236877441406,1.1665400266647339,,,1463
8,,,47.212303161621094,1.8758872747421265,1646
8,62.31767654418945,1.1117643117904663,,,1646
9,,,47.72817611694336,1.8612010478973389,1829
9,63.69798278808594,1.0691874027252197,,,1829
10,,,47.09325408935547,1.858938217163086,2012
10,65.56092071533203,1.021084189414978,,,2012
11,,,47.4603157043457,1.9395897388458252,2195
11,66.86186218261719,0.9830896854400635,,,2195
12,,,48.025794982910156,1.910988688468933,2378
12,68.3976821899414,0.9449787735939026,,,2378
13,,,47.31150817871094,1.9203307628631592,2561
13,69.5431137084961,0.9090870022773743,,,2561
14,,,47.7976188659668,1.9706733226776123,2744
14,70.54268646240234,0.8829401731491089,,,2744
15,,,48.283729553222656,1.9414957761764526,2927
15,71.69133758544922,0.8501905202865601,,,2927
16,,,48.31349182128906,1.9889886379241943,3110
16,72.68339538574219,0.8231263160705566,,,3110
17,,,48.29365158081055,2.0185353755950928,3293
17,73.81381225585938,0.7962604761123657,,,3293
18,,,47.69841384887695,2.0170934200286865,3476
18,74.79729461669922,0.7691601514816284,,,3476
19,,,46.44841384887695,2.0500378608703613,3659
19,75.6102523803711,0.7456879615783691,,,3659
20,,,47.5,2.0577399730682373,3842
20,76.27091217041016,0.7269780039787292,,,3842
21,,,46.88492202758789,2.0841152667999268,4025
21,77.10639190673828,0.7030788064002991,,,4025
22,,,47.80754089355469,2.1380131244659424,4208
22,77.87430572509766,0.6830936670303345,,,4208
23,,,47.18254089355469,2.1668496131896973,4391
23,78.66580963134766,0.661574125289917,,,4391
24,,,47.1726188659668,2.1457901000976562,4574
24,79.09266662597656,0.6497494578361511,,,4574
25,,,46.65674591064453,2.1894266605377197,4757
25,79.49699401855469,0.6393787264823914,,,4757
26,,,46.93452453613281,2.1852447986602783,4940
26,80.34105682373047,0.6204272508621216,,,4940
27,,,46.43849182128906,2.1931684017181396,5123
27,80.89875793457031,0.6049367785453796,,,5123
28,,,46.74603271484375,2.2354142665863037,5306
28,81.2183609008789,0.5958898663520813,,,5306
29,,,47.162696838378906,2.1956982612609863,5489
29,81.85113525390625,0.5795928239822388,,,5489
30,,,47.390872955322266,2.2197909355163574,5672
30,82.164306640625,0.5704541802406311,,,5672
31,,,45.376983642578125,2.2387335300445557,5855
31,82.67374420166016,0.5592841506004333,,,5855
32,,,44.52381134033203,2.2535011768341064,6038
32,83.25825500488281,0.5442500710487366,,,6038
33,,,45.08928680419922,2.310002326965332,6221
33,83.39982604980469,0.5414669513702393,,,6221
34,,,45.77381134033203,2.3110506534576416,6404
34,83.76984405517578,0.5274535417556763,,,6404
35,,,46.43849182128906,2.2877485752105713,6587
