epoch,ext/train/acc,ext/train/acc5,ext/train/loss,ext/train/lr,ext/val/acc,ext/val/acc5,ext/val/loss,step
0,,,,,9.19913387298584,27.9761905670166,3.7341017723083496,6104
0,7.079677104949951,23.377208709716797,3.885068893432617,0.0006999970646575093,,,,6104
1,,,,,12.202381134033203,34.44264221191406,3.632267951965332,12209
1,11.031941413879395,31.498186111450195,3.6828174591064453,0.0006999970646575093,,,,12209
2,,,,,12.581169128417969,35.90367889404297,3.5869970321655273,18314
2,13.221305847167969,35.14069366455078,3.5895986557006836,0.0006999970646575093,,,,18314
3,,,,,14.637445449829102,35.90367889404297,3.557072162628174,24419
3,13.881186485290527,36.17584991455078,3.5608606338500977,0.0006999970646575093,,,,24419
4,,,,,13.82575798034668,37.01298522949219,3.5603201389312744,30524
4,14.499531745910645,37.04340744018555,3.539430856704712,0.0006999970646575093,,,,30524
5,,,,,14.123376846313477,37.31060791015625,3.5441997051239014,36629
5,14.677664756774902,37.41429901123047,3.5274057388305664,0.0006999970646575093,,,,36629
6,,,,,14.880952835083008,37.44588851928711,3.5118231773376465,42734
6,15.306540489196777,37.965660095214844,3.51153302192688,0.0006999970646575093,,,,42734
7,,,,,14.393939018249512,38.17640686035156,3.5088672637939453,48839
7,15.869895935058594,38.882354736328125,3.489642858505249,0.0006999970646575093,,,,48839
8,,,,,15.178571701049805,37.44588851928711,3.5033397674560547,54944
8,16.042470932006836,39.166080474853516,3.4803900718688965,0.0006999970646575093,,,,54944
9,,,,,15.097402572631836,39.15043258666992,3.4981207847595215,61049
9,16.211536407470703,39.321693420410156,3.474194049835205,0.0006999970646575093,,,,61049
10,,,,,14.880952835083008,38.41991424560547,3.492908477783203,67154
10,16.26213836669922,39.55949401855469,3.4702184200286865,0.0006999970646575093,,,,67154
11,,,,,15.016233444213867,39.50216293334961,3.500178813934326,73259
11,16.322101593017578,39.58172607421875,3.4680235385894775,0.0006999970646575093,,,,73259
12,,,,,15.93614673614502,39.28571319580078,3.4962124824523926,79364
12,16.450801849365234,39.6100959777832,3.4644229412078857,0.0006999970646575093,,,,79364
13,,,,,15.124459266662598,38.068180084228516,3.5029594898223877,85469
13,16.51456642150879,39.78969192504883,3.4565608501434326,0.0006999970646575093,,,,85469
14,,,,,14.799783706665039,37.63528060913086,3.4775936603546143,91574
14,16.538259506225586,39.77828598022461,3.4592432975769043,0.0006999970646575093,,,,91574
15,,,,,13.9880952835083,38.663421630859375,3.5002071857452393,97679
15,16.54206085205078,39.84263610839844,3.4570493698120117,0.0006999970646575093,,,,97679
